name,id,minutes,contributor_id,submitted,tags,nutrition,n_steps,steps,description,ingredients,n_ingredients
funny bones  cake,360086,60,191015,2009-03-10,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'desserts', 'cakes', 'chocolate']","[7016.6, 652.0, 2109.0, 260.0, 263.0, 568.0, 245.0]",18,"['for the filling: beat the cream cheese and peanut butter until combined', 'add the powdered sugar and vanilla and beat until combined', 'beat in milk , 1 t at a time , until you reach desired consistency', 'set aside', 'for the cake: preheat oven to 350 degrees', 'spray a 12 cup bundt pan with cooking spray for baking', 'mix cake mix , oil , sour cream and eggs in a bowl', 'beat 1 or 2 minutes at medium speed', 'reserve 2 cups of the batter', 'pour remaining batter into the prepared pan', 'put peanut butter filling in a ring on top of batter', 'spoon reserved batter on top', 'bake for 40-50 minutes', 'cool 20 minutes and remove from pan onto wire rack', 'for the glaze: mix powdered sugar , vanilla and lt', 'cream until smooth', 'add more cream as needed to desired consistancy', 'when cake is cool , place on serving platter and drizzle with glaze']","this is a chocolate bundt cake with peanut butter ""tunnel"".  made to taste like drakes funny bones.","['cream cheese', 'creamy peanut butter', 'powdered sugar', 'vanilla', 'milk', ""devil's food cake mix"", 'vegetable oil', 'sour cream', 'eggs', 'light cream']",10
green  soup,391390,60,1360982,2009-09-22,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'soups-stews']","[500.7, 12.0, 56.0, 52.0, 52.0, 10.0, 27.0]",8,"['cook the barley in the stock for about 15 minutes', 'add onion , celery , pepper and garlic and cook 15 minutes', 'add potatoes and simmer till the potatoes are almost done', 'add your greens and cook 5-7 minutes', 'you can mix whatever greens you like', 'if using artichokes , add when you add your greens', 'taste and correct seasoning', 'you may need to add additional stock as you cook']",light soup thats good and good for you.,"['quick-cooking barley', 'onion', 'celery', 'pepper', 'garlic cloves', 'potatoes', 'spinach', 'chicken stock', 'artichoke hearts']",9
i coulda had a stuffed pepper  stuffed peppers,341816,85,133933,2008-12-05,"['time-to-make', 'course', 'main-ingredient', 'preparation', 'main-dish', 'beef', 'ground-beef', 'meat', '4-hours-or-less']","[213.4, 13.0, 32.0, 34.0, 36.0, 17.0, 5.0]",15,"['preheat oven to 350', 'cut the stems off the peppers , remove the seeds and membranes from inside , then rinse well with water to wash', 'set aside', 'if you choose to use the lemon juice and sugar , combine them with the vegetable juice cocktail and set aside', 'in a bowl , add the ground beef , onion , salt , pepper , rice , egg , 3 tablespoons of water and cup of the vegetable juice cocktail mixture', 'mix until very well combined', 'stuff each prepared pepper with 1 / 6 of the meat mixture', 'place the stuffed peppers , cut side up , in a baking dish that will hold the peppers in one layer but keep them fairly close together', 'pour the remaining juice mixture around the peppers', 'it should come to about 2 / 3 up the sides of the peppers', 'spoon just a bit of the juice onto the meat in each pepper and place in the oven', 'bake for about an hour , basting every 10 minutes or so , until the meat is cooked through , the rice is soft , and the sauce has thickened up a bit', 'it should look more like sauce at this point than juice', 'serve and enjoy', 'after adding the juice , bring to a boil , then lower the heat , baste , cover and simmer , and continue basting every 10 minutes or so until done']","after having stuffed peppers a few times i finally just decided i didn't like them.  that was until a neighbor brought me some stuffed peppers for dinner one evening while i was ill.  i decided to eat them just because i felt too sick to make anything for myself, and i'm glad i did.  they were absolutely wonderful, with a different, richer flavor than the traditional stuffed peppers i had always tried before.  she was hesitant to give up her secret, but i begged and begged until she did.  so here it is.

note that the lemon juice and sugar are optional.  they were my adaptation to the recipe, and i like the flavor they impart to the sauce.  but it is a matter of personal taste and the peppers are still excellent without them.  just use the ""secret ingredient"" that replaces the traditional tomato sauce as is.  a 4th tablespoon of rice can also be added if you prefer, but if you do, add 2 more tablespoons of the liquid to the meat mixture.  there is also a note at the bottom which gives directions on preparing these on top of the stove or in an electric skillet if you'd prefer.","['green peppers', 'vegetable juice cocktail', 'lemon juice', 'sugar', 'lean ground beef', 'onion', 'salt', 'pepper', 'raw rice', 'water', 'egg']",11
kelly s chinese cabbage salad,123115,22,113941,2005-05-22,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'salads', 'dietary']","[337.2, 39.0, 59.0, 9.0, 8.0, 33.0, 8.0]",14,"['in frying pan , melt butter', 'add teaspoons seasoning and noodles', 'saute 2 minutes , stirring', 'set aside on paper towel', 'in lg', 'bowl , combine coleslaw mix , kernels , green onions and red bell pepper', 'toss , cover and refrigerate', '30 minutes to 1 hour before serving make dressing:', 'in small bowl , whisk rest of ingredients well til syrupy', 'pour over salad , stir well , and refrigerate', 'just before serving , stir in noodles', 'variations:', 'sub or add toasted slivered or chopped almonds in place of or in addition to sunflower kernels', 'for a complete ""one-dish"" lunch or meal , stir in 2-3 cups cooked , diced chicken']","i've had lots of people ask for this recipe...there are similar ones, but this is how i make it.","['chicken-flavored ramen noodles', 'butter', 'seasoning', 'coleslaw mix', 'sunflower seeds', 'green onions', 'red bell pepper', 'vegetable oil', 'vinegar', 'sugar', 'soy sauce']",11
lofthouse  sugar cookies,284465,18,383853,2008-02-05,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', '5-ingredients-or-less', 'drop-cookies', 'desserts', 'easy', 'cookies-and-brownies']","[3103.5, 222.0, 931.0, 152.0, 72.0, 109.0, 139.0]",9,"['preheat oven to 375f', 'blend , cake mix , eggs , and oil until moistened', 'roll into 1"" balls', 'place on ungreased cookie sheet', 'flatten with a glass or cookie stamp', 'bake at 375f for 6-8 minutes', 'allow to cool 1 minute before removing to cooling rack', 'while the cookies are still a little warm , spread on some buttercream frosting', 'allow the frosting to set up before storing']","i found this copycat recipe for lofthouse sugar cookies online somewhere.  not sure how much it makes, and i haven't tried it yet, but i will be soon!","['french vanilla cake mix', 'vegetable oil', 'eggs']",3
marco    polenta,354047,40,527886,2009-02-05,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'main-dish']","[167.3, 8.0, 8.0, 11.0, 12.0, 5.0, 8.0]",16,"['in a boiler , simmer chickpeas , including liquid , with red pepper flakes and garlic for about 20 minutes', 'meanwhile , drain spinach , reserving the liquid', 'in a large skillet , heat oil', 'add cardamon and cook for about a minute', 'add onions , garlic and ginger and saute until the onions are translucent', 'add spinach , then cinammon and coriander', 'reduce heat and simmer gently for about ten minutes , adding reserved spinach liquid as needed to keep the mixture moist', 'meanwhile , slice and grill polenta , using a dry skillet or stovetop grill', 'drain chickpeas and add to the spinach mixture', 'prepare for serving by placing two slices of polenta on each plate', 'use a slotted spoon to drain the spinach and chickpea mixture , and top each slice of polenta', '(ingredient', 'one cup dried chickpeas can be substituted for canned , by soaking overnight and then cooking until tender', 'one pound fresh spinach , wash and deveined , can be substituted for frozen', 'dried ground cardamon and ginger can be substituted for fresh', ')']","start with the italian cornmeal classic, polenta, and add the exotic new
flavors of marco polo's journey to the east: chickpeas from anatolia,
spinach from persia, cardamon from india and cinnamon from china. but don't
worry, this recipe doesn't take years to complete! prepared polenta and
canned chickpeas make it easy (and nutritious).","['chickpeas', 'red pepper flakes', 'garlic cloves', 'frozen spinach', 'peanut oil', 'cardamom pods', 'onions', 'ginger', 'cinnamon', 'coriander', 'prepared polenta']",11
oh boy  waffles,296051,15,141457,2008-04-03,"['15-minutes-or-less', 'time-to-make', 'course', 'preparation', 'pancakes-and-waffles', 'breakfast', 'easy', '3-steps-or-less']","[183.4, 15.0, 5.0, 10.0, 8.0, 11.0, 6.0]",6,"['mix wet ingredients together', 'sift dry ingredients into separate bowl', 'add wet ingredients', 'mix till moistened', 'bake in preheated waffle maker 7-8 minutes until done and golden brown', 'cooking time is for all the waffles']","this is a hearty waffle.  if you like to toast leftover waffles, butter them and then dunk them in chocolate milk this is the waffle for you.  these waffles freeze really well.  i got this recipe out of a better homes and garden all-time favorites magazine(1971) that i got free when i bought a jar of prell shampoo!","['eggs', 'milk', 'oil', 'flour', 'baking powder', 'salt', 'sugar']",7
oops  there it is   chocolate cake low fat,212028,60,138016,2007-02-18,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'easy', 'cakes']","[233.4, 13.0, 104.0, 9.0, 7.0, 16.0, 12.0]",14,"['preheat oven to 350 degrees', 'in a small bowl , mix together flour , cocoa , baking powder , baking soda , cinnamon , and salt', 'in a medium bowl , blend together brown sugar , whole egg , egg whites , and oil with an electric mixer over medium speed', 'add vanilla , almond extract , and sour cream', 'beat on low speed until well blended', 'gradually add flour mixture to sour cream mixture , beating on medium speed', 'fold in chocolate chips with a spoon', 'spray and 8x8 pan with non-stick spray', 'spread batter evenly in pan', 'bake for 40-45 minutes , until wooden toothpick inserted in center comes out clean', ""be sure to chekc cake after 40 minutes , as you don't want to overbake it"", 'remove from oven and let cool in pan for 15 minutes', 'cut into 12 squares', 'for maximum moistness , store at room temperature in an air tight container']",by looneyspoons. -janet and greta podleski,"['all-purpose flour', 'unsweetened cocoa powder', 'baking powder', 'baking soda', 'cinnamon', 'salt', 'brown sugar', 'egg', 'egg whites', 'canola oil', 'vanilla', 'almond extract', 'low-fat sour cream', 'mini chocolate chip']",14
orange  soup,408303,45,962474,2010-01-13,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'soups-stews']","[283.1, 3.0, 72.0, 24.0, 17.0, 3.0, 21.0]",9,"['peel and cube the squash and sweet potato', 'chop the carrots', 'put in a pot and add water to just cover the vegetables', 'boil until vegetables are soft , then mash with a fork', 'add the yogurt and the broth', 'squeeze the juice out of the mandarin and add', 'stir well so that the solids mix with the liquids', 'add spices , honey , salt and pepper', ""you're done !""]",i decided to make my own version of the orange coloured soup using an amalgamation of recipes. it is nice and sweet and yummy. and easy! eat as an appetizer or make a meal out of it by adding about 0.5 cup of red lentils (cook them first before you cook the vegetables) and serve with warm bread or buns.,"['butternut squash', 'sweet potato', 'carrots', 'plain yogurt', 'chicken broth', 'mandarin orange', 'thyme', 'cinnamon', 'ginger', 'honey', 'salt and pepper']",11
peanut butter   jam sandwich   muffins,335539,30,883095,2008-11-06,"['30-minutes-or-less', 'time-to-make', 'course', 'preparation', 'cupcakes', 'desserts', 'cakes']","[286.9, 27.0, 53.0, 15.0, 16.0, 18.0, 8.0]",17,"['preheat oven to 400f', 'beat egg , 1 cup peanut butter and the oil in large bowl with wire whisk until well blended', 'add sugar', 'mix well', 'gradually add milk , mixing well after each addition', 'set aside', 'mix flour , baking powder , baking soda and salt', 'add to peanut butter mixture', 'stir just until moistened', 'spoon enough batter into each of 12 greased muffin cups to cover bottom of cup', 'spoon 1 / 2 teaspoons each of the jam and remaining 2 tablespoons peanut butter over batter in cups', 'cover evenly with batter', 'bake 15 minutes , or until lightly browned', 'cool in pan 5 minutes', 'remove to wire rack', 'cool completely', 'variation: prepare as directed , using your favorite flavor of jam and variety of peanut butter']",these are the a different muffin that will be loved by kids and adults alike.  i got the recipe from kraft.,"['egg', 'smooth peanut butter', 'oil', 'brown sugar', 'milk', 'flour', 'baking powder', 'baking soda', 'salt', 'strawberry jam']",10
perfect chocolate cake  mccall s cooking school,443720,180,663277,2010-12-07,"['time-to-make', 'course', 'preparation', 'desserts', 'cakes', '4-hours-or-less']","[1016.2, 85.0, 366.0, 31.0, 19.0, 171.0, 42.0]",39,"['in medium bowl , combine cocoa with boiling water , mixing with wire whisk until smooth', 'cool completely', 'sift flour with soda , salt and baking powder', 'preheat oven to 350f', 'grease well and lightly flour three 9 by 1 1 / 2 inch layer-cake pans', 'in large bowl of electric mixer , at high speed , beat butter , sugar , eggs , and vanilla , scraping bowl occasionally until light-about 5 minutes', 'at low speed , beat in flour mixture , alternately with cocoa mixture , beginning and ending with flour mixture', 'do not overbeat', 'divide evenly into pans', 'smooth top', 'bake 25 to 30 minutes , or until surface springs back when gently pressed with finger', 'cool in pans 10 minutes', 'carefully loosen sides with spatula', '4', 'remove from pans', 'cool on racks', 'frosting: in medium saucepan , combine chocolate pieces , cream , butter', 'stir over medium heat until smooth', 'remove from heat', ""with whisk , blend in 2 1 / 2 cups confectioners' sugar"", 'in bowl set over ice beat until it holds shape', '18', 'filling: whip cream with sugar and vanilla', 'refrigerate', 'to assemble cake: on plate place a layer , top side down', 'spread with half of cream', 'place second layer , top side down', 'spread with rest of cream', 'place third layer , top side up', 'to frost: with spatula , frost sides first , covering whipped cream', 'use rest of frosting on top , swirling decoratively', 'refrigerate at least 1 hour before serving', 'to cut , use a thin-edged sharp knife', 'slice with a sawing motion', 'and forget the swirls', 'i think it looks gourmet just to spread the frosting', 'it dries really dark and looks cool', 'somethimes i just drag a sharp knife across the top in lines and sometimes i leave it as it is', ""from mccall's cooking school""]","my grandmother use to make this every christmases, some the recipe got out of her book never to be seen again!! finally found it!  makes a truly wonderful chocolate cake","['unsweetened cocoa', 'boiling water', 'all-purpose flour', 'baking soda', 'salt', 'baking powder', 'butter', 'sugar', 'eggs', 'vanilla', 'semisweet chocolate pieces', 'light cream', ""confectioners' sugar"", 'heavy cream', 'vanilla extract']",15
real  strawberry pie with french cream topping,368878,45,213909,2009-05-01,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'pies-and-tarts', 'desserts', 'pies']","[591.2, 48.0, 201.0, 10.0, 12.0, 78.0, 25.0]",14,"['cook frozen berries in large saucepan over med-low heat until berries release juice', 'increrase heat to med-high and stirring often cook until you get a jam like consistency', 'now measure and see if you have 2 cups ! it needs to reduce to exactly 2 cups', 'while this is cooking combine gelatin , water and lemon juice and let stand until softened and thickened', 'add the gelatin mixture , sugar , pinch of salt to the berry mixture and simmer for a few more minutes', 'transfer to a bowl and let cool about 30 minutes to room temp', 'fold in the sliced , fresh berries and place all in your baked pie shell', 'refrigerate about 4 hours and up to 24 hours', 'for the topping whip the cream cheese , sugar and vanilla with electric mixer until smooth', 'with mixer running', 'add the whipping / heavy cream and beat until stiff peaks form', 'serve pie with this delicious topping', 'for a lower calorie topping', 'use reduced fat cream cheese and fold in cool-whip light or free']","this is the most wonderful strawberry pie without a box of jello or tons of cornstarch. the filling is cooked on the stove.which gives the depth of flavor one expects from this lucious fruit.it recently was in ""cook's country"" publication.","['frozen strawberries', 'lemon juice', 'water', 'unflavored gelatin', 'sugar', 'salt', 'fresh strawberries', 'pie shells', 'cream cheese', 'vanilla extract', 'heavy cream']",11
ritz  y chicken,207466,525,435109,2007-01-24,"['course', 'main-dish']","[158.9, 4.0, 6.0, 4.0, 58.0, 6.0, 0.0]",7,"['dredge breasts in yogurt', 'let stand in refrigerator for several hours or over night , covered with plastic wrap', 'mix crumbs , cheese and seasonings', 'coat yogurt covered breasts with crumb mixture', 'place on foil-lined baking sheet or 13 x 9-inch pan', 'drizle with 1 / 4 cup melted margarine', 'bake at 350 for 45 minutes']",really yummy!,"['ritz cracker crumbs', 'parmesan cheese', 'garlic powder', 'seasoning salt', 'plain yogurt', 'boneless skinless chicken breast halves']",6
starbucks  oat fudge bars,343821,45,946392,2008-12-15,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cookies-and-brownies', 'bar-cookies']","[397.2, 28.0, 127.0, 7.0, 13.0, 54.0, 18.0]",6,"['cream butter , sugar and eggs', 'mix flour , soda and oats and add slowly to creamed mixture', 'spread 3 / 4 of this into 9x13 pan', 'melt remaining ingredients in a saucepan and pour over dough in pan', 'blob the remaining oat mixture on top', 'bake at 350 for 25 minutes']",i am always tempted to buy these at starbucks so when a friend brought these to a cookie exchange i was quite excited!,"['sugar', 'brown sugar', 'butter', 'eggs', 'flour', 'baking soda', 'oats', 'sweetened condensed milk', 'chocolate chips', 'vanilla']",10
the cake,56036,55,52381,2003-03-10,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'desserts', 'cakes']","[703.2, 48.0, 299.0, 28.0, 16.0, 50.0, 33.0]",6,"['mix cake mix , margarine , water and one egg', 'pat into bottom of 12x18-inch pan', 'mix cream cheese , 3 eggs', 'add sugar and mix', 'pour on top of batter in pan', 'bake for 35-45 minutes at 350 degrees']",this cake is so good!!!!!,"['yellow cake mix', 'water', 'cream cheese', 'powdered sugar', 'margarine', 'egg', 'eggs']",7
the heavy one  cheesecake,467076,155,1911277,2011-10-30,"['time-to-make', 'course', 'preparation', 'for-large-groups', 'desserts', 'cheesecake', 'number-of-servings', '4-hours-or-less']","[374.2, 42.0, 96.0, 10.0, 13.0, 76.0, 8.0]",9,"['preheat oven to 475 degrees f', 'in a large mixing bowl , beat the cream cheese until it is light and fluffy', 'mix in the sugar and flour and continue beating until it is smooth', 'add the zests , the yolks , the eggs , one at a time , thoroughly mixing after the addition of each with the mixer', 'stir in the heavy cream , and mix only briefly until blended', 'pour the mixture into the prepared crust in the 10-inch springform pan , and bake for 15 minutes at 475 degrees f', 'then , reduce the oven temperature to 200 degrees f and continue to bake for 60 minutes', 'then , turn the oven off and allow the cake to sit inside while it cools down for another 60 minutes', 'remove the cake from the oven , allow to cool to room temperature , then chill in the refrigerator over night']","this new york-style cheesecake recipe appears in the joy of cheesecake by bovbjerg and iggers (1980).  the recipe calls for a shortbread crust, but you can use graham cracker crumbs or whatever you want.  this one is very rich, hence the name.  prep and cooking times do not include chilling overnight.  serve as is or try a topping such as blueberry or cherry pie filling or a raspberry coulis.","['cream cheese', 'granulated sugar', 'flour', 'lemon zest', 'orange zest', 'egg yolks', 'eggs', 'heavy cream']",8
the ultimate brownie,342698,55,850974,2008-12-09,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'for-large-groups', 'desserts', 'cookies-and-brownies', 'chocolate', 'number-of-servings']","[343.0, 28.0, 134.0, 9.0, 9.0, 55.0, 15.0]",8,"['preheat your oven to 365 degrees f and grease a 9x13 pan', 'melt the chocolate and butter in pan over low heat and set aside', ""just make sure it doesn't burn !"", 'in a large bowl , beat the eggs , sugar , and vanilla at high speed', ""doing this for 10 minutes would be ideal but your brownies won't be ruined if you don't"", 'mix in the chocolate / butter mix , flour , and salt until just combined', 'fold in the nuts', 'pour into the prepared pan and bake for 32-37 minutes']","an amazingly chewy, fudgy brownie! not for folks who like their brownies more cake-like. i found this recipe on about.com while searching for a recipe that used baking squares instead of cocoa powder. the result? a brownie that is super easy to make and comes out perfectly every time! i like to add a pinch each of baking powder and baking soda but it's not necessary especially if you can beat the egg/sugar mix for 10 minutes...","['unsweetened chocolate squares', 'butter', 'eggs', 'sugar', 'vanilla', 'flour', 'salt', 'pecans']",8
